,ad_title,ad_link,ad_bedroom,ad_bathroom,ad_size,ad_price,location
0,Townhouse forsale in October Chillout -Garden-Roof,/en/buy/townhouse-for-sale-giza-6-october-city-northern-expansions-mountain-view-chill-out-park-2108216.html,4,3,205,268800.0,Egypt
1,Apartment Ground With Garden 300m - The Square,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2108085.html,3,3,180,147200.0,Egypt
2,Furnished Chalet For Sale sea view,/en/buy/chalet-for-sale-north-coast-al-alamein-amwaj-2107479.html,2,2,115,182400.0,Egypt
3,First Row Villa With Sea View At Hacienda Red,/en/buy/villa-for-sale-north-coast-hacienda-2108414.html,4,5,287,4480000.0,Egypt
4,Chalet for sale in La Vista 3 Sea view,/en/buy/chalet-for-sale-suez-al-ain-al-sokhna-la-vista-la-vista-3-2106265.html,3,2,170,208000.0,Egypt
5,For sale standalone villa at mazarine new alamien,/en/buy/villa-for-sale-north-coast-new-alamein-city-mazarine-2105020.html,3,4,364,992000.0,Egypt
6,Apartment For Sale With Down Payment 10 %,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2105061.html,3,3,200,11200.0,Egypt
7,Apartment 3Bed In New Capital Compounds For Sale,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2105152.html,3,3,175,11840.0,Egypt
8,Twin house 140m for sale in Telal Sokhna,/en/buy/twin-house-for-sale-suez-al-ain-al-sokhna-telal-al-sokhna-2108098.html,3,3,140,182400.0,Egypt
9,best opportunity FOR SALE Duplex in Mountain View,/en/buy/ivilla-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-2107573.html,3,3,225,188800.0,Egypt
10,Villa First Row on The Golf Katameya Heights,/en/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-heights-2108470.html,5,7,950,2880000.0,Egypt
11,penthouse with private pool and  best view 10%disc,/en/buy/penthouse-for-sale-cairo-new-capital-city-new-capital-compounds-serrano-2108770.html,3,4,315,236928.0,Egypt
12,Al Burouj Twin House 310m  installments14 years,/en/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2104537.html,4,4,310,304000.0,Egypt
13,town house sodic east  for sale installment 8years,/en/buy/townhouse-for-sale-cairo-new-heliopolis-6th-district-sodic-east-2104479.html,3,2,240,320000.0,Egypt
14,Twin House 315m Al Burouj  installments 14 years,/en/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2104553.html,5,5,315,304000.0,Egypt
15,Apartment 3Bed In New Capital Compounds For Sale,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2105725.html,2,2,130,10560.0,Egypt
16,Apartment Fully Finished For Sale - The Square,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2107629.html,3,3,174,134400.0,Egypt
17,Chalet for sale with a pool view with clear water,/en/buy/chalet-for-sale-north-coast-north-coast-resorts-2108222.html,3,2,120,21760.0,Egypt
18,I Villa  ready to move In mountain view  hyde park,/en/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2108324.html,4,4,278,374784.0,Egypt
19,Super Lux Penthouse for sale Regents Park Compound,/en/buy/penthouse-for-sale-cairo-new-cairo-city-al-andalus-district-regents-park-2108521.html,3,3,211,256000.0,Egypt
20,Chalet For sale 151M Ground Finished Hacienda Bay,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2108443.html,3,3,251,32000.0,Egypt
21,apartment for sale In in the new Alamein Towers,/en/buy/apartment-for-sale-north-coast-new-alamein-city-the-gate-towers-2108401.html,3,2,150,55040.0,Egypt
22,Ground Chalet For Sale In Hacienda Bay,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2106082.html,3,3,280,275200.0,Egypt
23,Apartment for Sale in Eastown Sodic 255 sqm,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105594.html,3,3,255,272000.0,Egypt
24,Apartment for Sale in Eastown Sodic 255 sqm,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105594.html,3,3,255,272000.0,Egypt
25,chalet lagoon view for sale in marassi,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2105378.html,3,2,147,480000.0,Egypt
26,Mivida Apartment Ultra Super Finished for sale,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-2106230.html,2,3,145,137572.22,Egypt
27,apartment with garden under market price- estown,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2107017.html,2,3,155,198400.0,Egypt
28,For Sale apartment 175 m Fully Finished,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2105590.html,3,3,175,134400.0,Egypt
29,Finished Flat 127 m At With Lowest price First USE,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2107976.html,2,2,127,92800.0,Egypt
30,Villa duplex for Sale in Marina 5,/en/buy/duplex-for-sale-north-coast-al-alamein-marina-marina-5-2108260.html,4,2,500,384000.0,Egypt
